-
Livsstil/land || Anders på landet || Drömmer du om ett liv på landet？ Börja här || -0TsPzPbWzc
Vlog || Clara Henry || ALLA MINA BILDDAGBOKEN-BILDER || p2PgB9_cKvM
Samhällsproblem/Brott || Crime Sweden Investigators || KIDNAPPED SUPERSTAR RAPPER SHOT DEAD! EINÁR： MURDER, MUSIC, MILLIONS!  ＊RISE & DEMISE＊ || BjUBdyTatFI
Samhällsproblem/Brott || Crime Sweden Investigators || Kurdiska Rävens Liv & Krig På 74,5 Minuter || FRq-b6tIKYM
Samhällsproblem/Brott || Crime Sweden Investigators || BÄSTA Vänner MÖRDADE av sina Småbröder - BILTUNNELM0RDET || LBivJrHvlaM
Samhällsproblem/Brott || Crime Sweden Investigators || Stal Av Kurdiska Räven - Kidnappas & Mördas || pAXwP4LaqDU
Samhällsproblem/Brott || Crime Sweden Investigators || Kurdiska Räven Erbjuden 1 MILJON För 3 M0RD På GÄNGLEDARE - SKÖTS 19 Gånger Av Torpeden || w3oZGYhFGdw
Samhällsproblem/Brott || Crime Sweden Investigators || RAP SVERIGE VAD HÄNDE？ (EINÁR, ADEL, Z.E, YASIN, DREE LOW, HAVAL) 151 SKJUTNINGAR PÅ 151 DAGAR || ygV2SmaKF64
Samhällsproblem/Brott || Crime Sweden Investigators || Einár Vän blev Torped och Livvakt åt Dalen & Greken - Kurdiska Rävens Foxtrot Attackerat i Umeå || zPSSXbvoyvc
Delicious and easy recipes || Chicken drumsticks recipe ! Chicken recipe easiest and tastiest delicious recipe ! #100 || wq_iedgvdyY
Livsstil || EFN Ekonomikanalen || Allt fler gör som Lars Fallgren – blir ”jobbonär” || 0xx2NdEuy78
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 3： Minska dina utgifter ｜ Kom i form ekonomiskt || 3upc1rT3K7Y
Ekonomi/Marknad || EFN Ekonomikanalen || Best case⧸worst case – elpriserna || 4NUGWpRaqE4
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Läs på innan du investerar! || 50SKcj-KvQQ
Ekonomi/Marknad || EFN Ekonomikanalen || ”Fladdrande priser är det nya normala” || 6n1LsoUCaug
Ekonomi/Marknad || EFN Ekonomikanalen || Thriller väntar på riksbanksmöte ｜ Läget - en snabbkoll på marknaden || A8ieBXGLbZU
Ekonomi/Marknad || EFN Ekonomikanalen || EFN Marknad knyter ihop säcken ｜ EFN Marknad för sista gången || CR0mVAu927w
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Så mycket får du låna till en bostad || EdPz_p-_08Q
Ekonomi/Företag || EFN Ekonomikanalen || Göteborgs-startup bakom historisk ”lax” || GlCH7xCRFm4
Ekonomi/Företag || EFN Ekonomikanalen || Därför investerar Klarna-grundarens bolag i Open AI ｜ EFN Marknad 1 december || HnPhaNnVmd0
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Därför ska du välja bolag med hög soliditet || ISJKW7lES6E
Ekonomi/Företag || EFN Ekonomikanalen || Så avslöjar du företagens skuldgömmor || L9Qms95Babw
Ekonomi/Företag || EFN Ekonomikanalen || Då ska du sälja dina aktier ｜ EFN Marknad 29 november || LLd8SV30CbE
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Mohammed blev miljonär innan 30 – nu vill han hjälpa andra ｜ Resan mot miljonen || MOo3h1n2po4
Uppfinning || EFN Ekonomikanalen || Huset som inte får någon elräkning || OM6QCP5IXM0
Ekonomi/Marknad || EFN Ekonomikanalen || Science fiction på räntemarknaden ｜ Snabbkoll på marknaden || PrwXB1UIScA
Praktisk kunskap || EFN Ekonomikanalen || Oväntade åtgärder som kräver bygglov || QmxlOtsKH2A
Ekonomi || EFN Ekonomikanalen || 22 lågt värderade bolag med hög vinsttillväxt ｜ EFN Marknad 8 december || VrCI7pkRUcI
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Så investerar du som Peter Lynch || XSGyVXYfZnk
Ekonomi/Marknad || EFN Ekonomikanalen || Riksbanken ser ut att behöva 80 miljarder ｜ Läget - en snabbkoll på marknaden || YYvlZ-_xxw8
Ekonomi/Marknad || EFN Ekonomikanalen || Då kan Riksbanken börja sänka räntan ｜ EFN Marknad 24 november || ZKe77BvG-vI
Ekonomi/Marknad || EFN Ekonomikanalen || Breda räntefall pekar på att centralbanker snart sänker ｜ Läget - en snabbkoll på marknaden || _5mdLWIMikE
Ekonomi/Marknad || EFN Ekonomikanalen || Finska aktier har blivit billiga ｜ EFN Marknad 6 december || _uLZU7y2u_Q
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Maribel och Oskar： Så sparade vi ihop 6 miljoner på 6 år ｜ Resan mot miljonen || eTGt2wWXoDk
Ekonomi/Marknad || EFN Ekonomikanalen || Aktierna som vinner på den stigande inflationen || g-_sGNjMC2s
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 5： Bara bra lån, tack! ｜ Kom i form ekonomiskt || jtPS3MUgJcI
Nya utvecklingar/Arkitektur || EFN Ekonomikanalen || Han vill revolutionera byggsektorn med 3D-printade hus || kQeTSjV8cCk
Ekonomi/Företagande || EFN Ekonomikanalen || Den ofrivillige entreprenörens kamp || mYDXtdErC_Q
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Så säljer du din bostad utan mäklare || nlT-ZeIzb7k
Ekonomi/Marknad || EFN Ekonomikanalen || Alla har höjt klart förutom Riksbanken ｜ Läget - en snabbkoll på marknaden || pUDzmEvlB1E
Ekonomi/Marknad || EFN Ekonomikanalen || ”Svensk inflation dundrade ned” ｜ Läget - en snabbkoll på marknaden || paqJSEUBaXg
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 1： Ta reda på nuläget ｜ Kom i form ekonomiskt || q-OhOTmicmY
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 4：  Hitta pengarna ｜ Kom i form ekonomiskt || uoNKKuuC1cg
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 6：  Låt pengarna jobba för dig ｜ Kom i form ekonomiskt || uyku7D0-Oog
Praktisk kunskap/Ekonomi || EFN Ekonomikanalen || Pass 2： Uppfyll dina drömmar ｜ Kom i form ekonomiskt || ywIbOZlB7Yg
Livsstil || EFN Ekonomikanalen || Hon trotsade nejsägarna och startade livsstilsfond || zOU2p_ZDiDs
Litteratur/Recension || Elzas Bokhylla || Läst i juni 2023 || 25qeUvjZoMo
Litteratur/Recension || Elzas Bokhylla || Läst i maj 2023 || JbMOGoTHaVk
Litteratur/Recension || Elzas Bokhylla || Läst i april 2023 || PzPS3ts8g10
Litteratur/Recension || Elzas Bokhylla || Bokmässan Book Haul 2023 || RNPOpRkDvRA
Litteratur/Recension || Elzas Bokhylla || Läst i september 2023 || RZ9v2dV5pE0
Litteratur/Recension || Elzas Bokhylla || TBR oktober 2023 || byDMzSgpt4U
Litteratur/Recension || Elzas Bokhylla || Skräckböcker jag vill läsa || zN4oU4M9-6c
Vlog/Sverige || Emma och Konrad || Sanningen om varför vi försvann! || 2YD42uux4F4
Ovanlig/UFO || Emma och Konrad || USA erkänner 3 UFO klipp som äkta - Ni kommer inte tro era ögon! (INTE CLICKBAIT) || OZTvO1mI0FY
Ovanlig/Överlevnad || Emma och Konrad || Hur jag överlevde utan mat i 30 DAGAR! || kcgOlOl2TZQ
Ovanlig/NDE || Emma och Konrad || REAGERAR PÅ NÄRA DÖDEN UPPLEVELSER || x4xjFCKIiA0
Praktisk kunskap/Ekonomi || Enkla Juridik || Aktieägaravtal ｜ Viktigaste punkterna att tänka på ｜ Juristen Förklarar || aAnqYnmbM9A
Filosofi || Filosofi för Gymnasiet || Naturfilosoferna： Zenon || -CEBjqN8uoo
Filosofi || Filosofi för Gymnasiet || Existentialism： Friedrich Nietzsche (del 1 av 2) || -tsPe-1MlRM
Filosofi || Filosofi för Gymnasiet || Introduktion till Existentialism || 56QZ7zAfMAM
Filosofi || Filosofi för Gymnasiet || Medeltidens och renässansens filosofi || 5EkEyExXhrk
Filosofi || Filosofi för Gymnasiet || Naturfilosoferna： Thales || 96MnikMASX0
Filosofi || Filosofi för Gymnasiet || Filosofiska frågor： Meningen med livet || 9KH_UcQGYyc
Filosofi || Filosofi för Gymnasiet || Filosofi： Immanuel Kant || KrH81tm9whA
Filosofi || Filosofi för Gymnasiet || Filosofiska frågor： Den fria viljans problem || MH116yvbfwg
Filosofi || Filosofi för Gymnasiet || Antikens filosofi： Aristoteles || WZ-0wRv-V5o
Filosofi || Filosofi för Gymnasiet || Existentialism： Jean-Paul Sartre (del 2 av 2) || XWmBm3pr-Gk
Filosofi || Filosofi för Gymnasiet || Filosofi： Arthur Schopenhauer || XtTzzVqD6Ww
Filosofi || Filosofi för Gymnasiet || Filosofi： René Descartes || XxIarYXdK5U
Filosofi || Filosofi för Gymnasiet || Antikens filosofi： Platon || b1ZvtYIajBM
Filosofi || Filosofi för Gymnasiet || Filosofiska frågor： Tänk om allt är en illusion || bu65CT6z11M
Filosofi || Filosofi för Gymnasiet || Naturfilosoferna： Pythagoras || euXwNFWGRk8
Filosofi || Filosofi för Gymnasiet || Den västerländska filosofins födelse || hAJhWk3rEmQ
Filosofi || Filosofi för Gymnasiet || Existentialism： Jean-Paul Sartre (del 1 av 2) || l5dasHhClDM
Filosofi || Filosofi för Gymnasiet || Naturfilosoferna： Demokritos || liNOm7F_-Iw
Filosofi || Filosofi för Gymnasiet || Existentialism： Friedrich Nietzsche (del 2 av 2) || umKOyz_4bTk
Filosofi || Filosofi för Gymnasiet || Antikens filosofi： Sokrates || yneFwkz0rrw
Humör/Sarkasm/Sverige || Freudian Slip Productions || Radikala östermalmare || 0wvP5xw3JnE
Humör/Sarcasm || Freudian Slip Productions || Nazist söker fru || C5qfk9wq4IU
Humör/Sarkasm/Sverige || Freudian Slip Productions || Stockholmskursen || SoDN5aBgL3k
Humör/Sarkasm/Sverige || Freudian Slip Productions || Göteborgskursen || q1amUMIhCEI
Livsstil/Försvar || Försvarsmakten || Flygstridsledare： Emelie || 0VIFT2w-D5U
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Sofia || 1yF7WVx_yOY
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Viktor || 2S1aWxgjMdI
Livsstil/Försvar || Försvarsmakten || En frågelåda om att göra värnplikt： Majken och Birger || 6mKD5i4-hXY
Livsstil/Försvar || Försvarsmakten || Försvarsmaktsövning Aurora 23 || 84YqYKie3bo
Livsstil/Försvar || Försvarsmakten || Sjöövervakningsoperatör： Saga || 9NOeDE0t39E
Livsstil/Försvar || Försvarsmakten || En frågelåda om att göra värnplikt： Vlada och Calle || ADE22-eyXrg
Livsstil/Försvar || Försvarsmakten || Tillsammans stärker vi försvaret av Norden || Ar5w9OCgCMA
Livsstil/Försvar || Försvarsmakten || Svenska brobyggare stärker Natos förmåga i Polen || E9qdFZx77CM
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Andreas || FCBPGRnTtdg
Livsstil/Försvar || Försvarsmakten || En frågelåda om att göra värnplikt： Kaula och Edward || GZ6L1Ou8zm4
Livsstil/Försvar || Försvarsmakten || K 4 Norrlands dragonregemente || IPwh1J4aSMs
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Emelie || JSU89KOSFbY
Livsstil/Försvar || Försvarsmakten || Mobiliseringsövning genomförs under Aurora 23 || PFO8-TP1iZI
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Jacob || PLJimuEnC4Q
Livsstil/Försvar || Försvarsmakten || Försvarsmakten i 360 VR – välkommen ombord på en Visbykorvett || Twf-qWflR48
Livsstil/Försvar || Försvarsmakten || Veteranporträttet Del 6 - Niklas i Afghanistan || VUxJw8wWjbs
Livsstil/Försvar || Försvarsmakten || Luftvärnssystem 103 Patriot är nu operativt || WwUpdW-VqKI
Livsstil/Försvar || Försvarsmakten || TUAV-pilot： Johan || XdTBNkuxRTI
Livsstil/Försvar || Försvarsmakten || Svenska flygtekniker tar hand om finska flygplan || _KDOKVBq9HQ
Livsstil/Försvar || Försvarsmakten || Försvarsmakten i 360 VR – välkommen ombord på dykeri- och ubåtsräddningsfartyget HMS Belos || a_vdPryz__U
Livsstil/Försvar || Försvarsmakten || Ibland krävs det mer. Då är specialförbanden där. || dWL02biRnQY
Livsstil/Försvar || Försvarsmakten || Ledningssystemofficer： Hampus || e3tNzGltm9Y
Livsstil/Försvar || Försvarsmakten || Officer i Försvarsmakten： Helena || eDZKVoMLgtU
Livsstil/Försvar || Försvarsmakten || Befattning： Cybersoldat || h2rDjGXVLug
Livsstil/Försvar || Försvarsmakten || Veteranporträttet Del 5 - Jan-Olov på Cypern || iflri5Kb0tM
Livsstil/Försvar || Försvarsmakten || Försvarsmakten i 360 VR – välkommen ombord på ett minröjningsfartyg av Kosterklass || lvSvMz9DCj4
Praktisk kunskap/Överlevnad || Försvarsmakten || När kriget kommer, avsnitt 4, ＂Det totala försvaret＂ || mOuNjP1HfJo
Livsstil/Försvar || Försvarsmakten || Veteranporträttet Del 7 – Stefan i Libanon || oBi1J_GBppI
Livsstil/Försvar || Försvarsmakten || 2021 – året som gått || qq2_PgJBieE
Livsstil/Försvar || Försvarsmakten || Helikopterpilot： Freddy || qyHHUb09BfM
Livsstil/Försvar || Försvarsmakten || Västernorrlands regemente är tillbaka || uOIORo3AJPE
Livsstil/Försvar || Försvarsmakten || Ledningssystemofficer： Ludvig || vFIIPPdz9-o
Livsstil/Försvar || Försvarsmakten || Baltops 22 || x0XS03aTtb4
Livsstil/Försvar || Försvarsmakten || Försvarsmakten i 360 VR – välkommen ombord på en Gävlekorvett || xG29lBzxnm8
Livsstil/Försvar || Försäkringskassan || Möt Ulrika – jurist på Försäkringskassan || 0Vyn4DICdso
Praktisk kunskap/Överlevnad || Försäkringskassan || Om du inte sköter ditt arbetssökande || 43Fvz4oAPWI
Praktisk kunskap/Överlevnad || Försäkringskassan || Granska alltid dina uppgifter och uppdatera dem med jämna mellanrum || 51vJBqQM7Gg
Praktisk kunskap/Överlevnad || Försäkringskassan || Ersättning när du deltar i program hos Arbetsförmedlingen || 8TNA-saq7pU
Praktisk kunskap || Försäkringskassan || Möt Emma – försäkringshandläggare på Försäkringskassan || H_SU41TY96Y
Praktisk kunskap || Försäkringskassan || Så funkar det： SGI för företagare || PimMJ4uTBNU
Praktisk kunskap || Försäkringskassan || Möt Maria – systemutvecklare på Försäkringskassan || cSsuUXy2q08
Praktisk kunskap || Försäkringskassan || Möt Hampus – försäkringsutredare på Försäkringskassan || jp0Ub5uhI2g
Praktisk kunskap/Överlevnad || Försäkringskassan || Så här ansöker du om sjukpenning || l-f3O1rptWE
Praktisk kunskap/Överlevnad || Försäkringskassan || Så funkar sjukpenning och förebyggande sjukpenning || ldGLtFAwaK4
Praktisk kunskap || Försäkringskassan || Så använder Försäkringskassan AI || m2YiY4lb104
Praktisk kunskap/Överlevnad || Försäkringskassan || Om Försäkringskassan || sQfADAasLpU
Praktisk kunskap/Överlevnad || Försäkringskassan || Etableringstillägg och bostadsersättning när du deltar i etableringsprogrammet || sTx8B4ZpSc8
Praktisk kunskap || Försäkringskassan || Så här loggar du in på Mina sidor med Mobilt BankID (mobil) || sZQvnybl6rY
Praktisk kunskap || Försäkringskassan || Möt Farhan - IT-trainee på Försäkringskassan || tBNt7KTuwbU
Praktisk kunskap || Försäkringskassan || IT-utvecklarna bakom utbetalningen av elstödet || uVb3Zo_XM5Y
Praktisk kunskap || Försäkringskassan || Möt Shadi - enhetschef på Försäkringskassan || vdKluqkwOhg
Praktisk kunskap/Överlevnad || Försäkringskassan || Kom ihåg att granska dina uppgifter för att det ska bli rätt || xMU0AaSbxzg
Praktisk kunskap/Utbildning || Gymnasiekoll || Avsnitt 4 - Vad är ett meritvärde？ || 8r2bd8CSCWU
Utbildning || Gymnasiekoll || Hur vet man vad man ska gå på gymnasiet？ - Gymnasiekoll Talkshow Avsnitt 1 || MqR6eg8uJy8
Praktisk kunskap/Utbildning || Gymnasiekoll || Avsnitt 2 - Hur väljer man program och gymnasieskola？ || Nofz0dXRwaM
Livsstil || Gymnasiekoll || Avsnitt 6 - Vad vill du göra efter studenten？ || iFNoqKAa50w
Praktisk kunskap/Utbildning || Gymnasiekoll || Avsnitt 3 - Hur går ett öppet hus till？ || j-VWbcUzZSY
Utbildning || Gymnasiekoll || Hur väljer man gymnasium？ - Gymnasiekoll Talkshow Avsnitt 2 || vzZxHJWjMLg
Utbildning || Gymnasiekoll || Avsnitt 5 - Vilket gymnasium ska man välja？ || xT7LE3NiCbU
Praktisk kunskap/Utbildning || Gymnasiekoll || Avsnitt 1 - Hur går ett gymnasieval till？ || xv7qKpTEB7M
Henrik Jönsson || SOCIALISM REBUKED： A reply to Francesca Fiorentini || 7GYMKofyd4Y
Henrik Jönsson || THE CLIMATE CLUSTERFUCK： why nobody is communicating about the environment || TJEu8_Wu_yU
Henrik Jönsson || JUSTICE A$AP： The Rocky Horror Sweden Show || TUPQ4BBvNsE
Henrik Jönsson || THE WAR ON THE INTERNET： How the EU is killing the internet || Yg1h4gGfJoM
Henrik Jönsson || THE ESCHATOLOGY OF SWEDEN： The war of the world views || d6GTjM2WAdw
Henrik Jönsson || ACTIVISM IN SWEDEN： Lex Elin Ersson || kv0SkemgzjU
Henrik Jönsson || FACTS & FEELINGS IN SWEDEN： An analysis of media, immigration and communication || m2wA-9CS89w
Henrik Jönsson || UNWANTED OPINIONS - Why is the journalists union trying to control freedom of press？ || nKrq-BiA80I
Henrik Jönsson || WHY SPACE MATTERS： is the western civilisation in decline？ || t5_y7YTcOyc
Henrik Jönsson || 💥 WHAT IS HAPPENING IN MALMÖ？ Crime, confusion and opinions || tTAAiBKLBeM
Henrik Jönsson || THE TRUTH ABOUT SWEDISH SOCIALISM： Debunking the lies of the left || udqrpYbArCI
Utbildning || Högskolan i Halmstad || Julia pluggade Språk, textbearbetning och digital kommunikation. || -s_br9rP9pw
Utbildning || Högskolan i Halmstad || Professorsporträtt – Marie Mattsson, professor i miljövetenskap || 3Axd-G2k1GM
Utbildning || Högskolan i Halmstad || Plugga till ingenjör i hållbar energi – möt en alumn || 3Q8aZZ3PYTI
Utbildning || Högskolan i Halmstad || Plugga Professionell idrottskarriär och arbetsliv || A3JKar4pLmE
Utbildning || Högskolan i Halmstad || Plugga till förskollärare || BLSDWKW16R0
Utbildning || Högskolan i Halmstad || 45 sekunder om onlineshoppingens sista väg till konsumenten || COYC5_eBT5s
Utbildning || Högskolan i Halmstad || Professor's portrait – Ying Fu, Professor of Applied Electromagnetics || D4i2FsFPc2U
Utbildning || Högskolan i Halmstad || Moa berättar om studentlivet i Halmstad || D7pK_pEfok8
Utbildning || Högskolan i Halmstad || Kombinera yrkesliv och masterutbildning genom projektbaserad master! || EC0sWMWye-k
Livsstil || Högskolan i Halmstad || Stephanie om studentlivet i Halmstad || HliTO1592MQ
Utbildning || Högskolan i Halmstad || Forskarporträtt – Anna Isaksson, docent i sociologi || IS5FqNNdcGA
Utbildning || Högskolan i Halmstad || Pernilla Nilsson forskar om digitalisering i skolan och i lärarutbildningen || KSpOs30IBpA
Utbildning || Högskolan i Halmstad || Elektronikcentrum i Halmstad ECH || KlAZua8ztmE
Utbildning || Högskolan i Halmstad || Lisa pluggade Språk, textbearbetning och digital kommunikation. || RvsHJg_fyyE
Utbildning || Högskolan i Halmstad || Årets alumn 2019 – Åsa Ekman, barnrättskonsult || TDFVdCcNEag
Livsstil || Högskolan i Halmstad || Hur är studentlivet i Halmstad？ Emil berättar! || VglTIkPjLVA
Utbildning || Högskolan i Halmstad || 45 sekunder om immigrerade kvinnors väg in i ledarskap i den svenska idrottsrörelsen || VqXCLeWkWNI
Utbildning || Högskolan i Halmstad || Studenten Julia berättar om Arbetsvetenskap || WDRxpzEabw4
Utbildning || Högskolan i Halmstad || Plugga och idrotta samtidigt || XgIcDZu7q5A
Utbildning || Högskolan i Halmstad || Årets alumn 2021 – Högskolan i Halmstad || _u-FfQRhYAI
Livsstil || Högskolan i Halmstad || Hur tar du dig till jobbet？ – 45 sekunder om hållbar pendling || axYl6Ch7y1g
Livsstil || Högskolan i Halmstad || Rundtur på campus med Timmie! || bz2t1K1oDgQ
Vlog/Sverige || Högskolan i Halmstad || 63 snabba frågor till studenter på Högskolan i Halmstad || jcUpG5kMoFI
Utbildning || Högskolan i Halmstad || Bli ingenjör – plugga till mekatronikingenjör || lKnSSPMJnMU
Utbildning || Högskolan i Halmstad || Samarbetar med idrottsförbund för att forskning ska göra skillnad || nXaJ9VzXYwg
Vlog/Sverige || Högskolan i Halmstad || Årets alumn 2020 – Rebecka Larsson || nmeHa5dr4tg
Vlog/Sverige || Högskolan i Halmstad || Fördomspanelen – med Jubël och Högskolan i Halmstad || nobsdtQIf-0
Livsstil || Högskolan i Halmstad || David tycker till om Halmstads studentliv || q5OHb9u-3uM
Livsstil || Högskolan i Halmstad || 45 sekunder om AI-verktyg som hjälp i vården || wWeXnYIxAsI
Vlog/Sverige || JLC || LISEBERG PÅ NATTEN. || h3U5-tErAd4
Vlog/Sverige || JLC || PÅ RYMMEN I BERLIN! || tUd4_eq8iE4
Vlog/Sverige || JLC || BLINDDATE PRANK PÅ NIKLAS. || wZyLnp6iIHM
Vlog || JLC || SKARA SOMMARLAND FÖR OSS SJÄLVA. || zwuEy4A72Pc
Akademiskskunskap || Kent Löfgren på svenska || Begreppet social klass samt Bourdieus fält, habitus och kapital-teorier || 9w12l0keiJA
Akademiskskunskap || Kent Löfgren på svenska || Kvalitativ analys av intervjuutskrifter ｜ Steg-för-steg-beskrivning för nybörjare || oiyRXRwsF_Q
Akademiskskunskap || Kent Löfgren på svenska || Att skriva inledning, problem, syfte & frågeställningar i en uppsats eller ett examensarbete || pzyH-th1ROo
Kungliga biblioteket || Introduktion till Libris katalogisering || 2Fn9CwXJcy4
Kungliga biblioteket || RDA – Regler, praxis och anvisningar || 3SlfjP8c2-w
Kungliga biblioteket || Katalogvård – att flytta bestånd i Libris katalogisering || 7FE3jNZs6Xk
Kungliga biblioteket || Anne Kaun： Perspektiv på digitalisering - Det digitala imperativet || AsSdlfHzFOI
Kungliga biblioteket || Redigering av importerad post med icke-latinskt alfabet [201021] || GCT3BBilD_w
Kungliga biblioteket || Egenskaper och entiteter || HL01AEhkhYo
Kungliga biblioteket || Jonna Bornemark： Det omätbara biblioteket || KzqxX3k1Gio
Kungliga biblioteket || Folkbiblioteket och den digitala kompetensen || W7cvqv8dTDI
Kungliga biblioteket || Informationsfilm om öppen tillgång - Varför införs öppen tillgång？ || XtglZ0yxBuA
